Index,Arrival_Time,Creation_Time,x,y,z
0,1425035026721,680026932.75,-0.011222820281982421,-0.04519055633544922,-9.840468098449707
1,1425035026747,680036639.7500001,0.0022445640563964844,-0.0579097526550293,-9.8449572265625
2,1425035026747,680046326.75,-0.008379705810546874,-0.06000467910766601,-9.846154327392577
3,1425035026747,680056031.75,-0.004189852905273437,-0.055066638183593745,-9.823409411621093
4,1425035026755,680065752.75,0.003142389678955078,-0.053719899749755856,-9.813533329772948
5,1425035026767,680075465.75,-0.0025438392639160153,-0.0579097526550293,-9.813982242584224
6,1425035026776,680085167.7500001,-0.0010474632263183592,-0.06015431671142578,-9.84061773605347
7,1425035026785,680094878.75,-0.004339490509033203,-0.05746083984375,-9.813832604980469
8,1425035026796,680104585.7500002,0.005087678527832031,-0.05102642288208008,-9.823409411621093
9,1425035026820,680114295.75,-0.00613514175415039,-0.05581482620239257,-9.829095640563965
10,1425035026820,680124005.75,-0.007930792999267577,-0.05491700057983398,-9.835081144714355
11,1425035026825,680133711.7500002,0.0,-0.05746083984375,-9.823110136413574
12,1425035026833,680143403.7500001,-0.0017956512451171875,-0.0565630142211914,-9.82864672775269
13,1425035026843,680153108.75,0.005985504150390624,-0.048931496429443354,-9.830292741394043
14,1425035026853,680162831.75,-0.014814122772216796,-0.06329670639038086,-9.843311212921138
15,1425035026862,680172539.7500001,-0.007481880187988281,-0.06284779357910156,-9.829394915771484
16,1425035026873,680182222.7500001,0.006883329772949218,-0.05521627578735351,-9.825055425262455
17,1425035026882,680191945.7500001,0.017357962036132813,-0.05297171173095703,-9.82580361328125
18,1425035026899,680201650.75,-0.009726444244384765,-0.05521627578735351,-9.833734406280513
19,1425035026902,680211366.75,0.003890577697753906,-0.05357026214599609,-9.821913035583496
20,1425035026911,680221084.75,-0.000748188018798828,-0.0579097526550293,-9.821015209960937
21,1425035026920,680230772.75,-0.0020949264526367185,-0.057610477447509766,-9.82864672775269
22,1425035026931,680240481.7500002,-0.0025438392639160153,-0.06209960556030273,-9.8189202835083
23,1425035026941,680250211.7500001,-0.011073182678222656,-0.05940612869262695,-9.827150351715083
